Jalsa, Yes, Yes,4.1,775, Banashankari, Casual Dining,800, Buffet, Banashankari, North Indian/Mughlai/Chinese
Sri Lakshmi Curries & Pickles, No, No,2.9,60, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Andhra/Biryani
Bhojohori Manna, Yes, No,3.7,666, JP Nagar, Casual Dining,650, Dine-out, JP Nagar, Bengali/Mughlai
Nouvelle Garden, No, No,3.7,203, JP Nagar, Casual Dining,900, Dine-out, JP Nagar, North Indian/Continental/Italian
TAB - Take A Break, No, No,4.1,522, JP Nagar, Cafe,550, Dine-out, JP Nagar, Cafe/Continental/Italian
Chatori Gali, No, No,2.9,51, JP Nagar, Casual Dining,600, Dine-out, JP Nagar, North Indian/Street Food
Swathi Restaurant, Yes, No,3.8,49, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Mangalorean/North Indian/Chinese
Brundhavana Pure Veg, Yes, No,3.7,98, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, South Indian/North Indian/Chinese/Beverages
Beijing Bites, No, No,4,99, JP Nagar, Casual Dining,850, Dine-out, JP Nagar, Chinese/Thai
Gujrati Mess, Yes, No,3.6,18, JP Nagar, Mess,200, Dine-out, JP Nagar, Gujarati
Royal Chef Naati Oota, No, No,4,194, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, South Indian/Biryani/North Indian
Shanthi Sagar, Yes, No,3.6,519, JP Nagar, Casual Dining,400, Dine-out, JP Nagar, South Indian/North Indian/Chinese
White Horse, No, No,3.8,179, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, North Indian/Mangalorean/Chinese
Cafe Potpourri, Yes, No,3.7,132, JP Nagar, Cafe,400, Dine-out, JP Nagar, Cafe/Sandwich/North Indian/Beverages/Desserts
Woody's, Yes, No,2.6,208, JP Nagar, Casual Dining,650, Dine-out, JP Nagar, Chinese/South Indian/North Indian
De Oxford Cafe, No, No,3.7,34, JP Nagar, Cafe,500, Dine-out, JP Nagar, Cafe/Beverages/Fast Food
Funky Punjab, Yes, No,3.9,410, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, North Indian/Chinese
Vinaya Coffee Moments, Yes, No,3.8,46, JP Nagar, Cafe,450, Dine-out, JP Nagar, Burger/Cafe/Desserts/Sandwich/Italian
Dakshin Food Palace, Yes, No,3.7,43, JP Nagar, Casual Dining,450, Dine-out, JP Nagar, South Indian/North Indian/Chinese
New Kabab Zone, Yes, No,2.9,51, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, North Indian/Chinese
Brew Point, Yes, No,3.6,10, JP Nagar, Cafe,500, Dine-out, JP Nagar, Cafe/American/Burger/Sandwich/Fast Food
The Onyx - The HHI Select Bengaluru, No, No,3.3,177, JP Nagar, Casual Dining,950, Dine-out, JP Nagar, North Indian/Chinese/Continental
Gam's Delicacy, No, No,3.2,6, JP Nagar, Casual Dining,800, Dine-out, JP Nagar, North Indian/Chinese/Assamese
Re Malnad Nati Style Hotel, Yes, No,3.6,16, JP Nagar, Casual Dining,400, Dine-out, JP Nagar, South Indian
Sampoorna, Yes, No,3.6,70, JP Nagar, Casual Dining,600, Dine-out, JP Nagar, Chinese/North Indian
Spice Up, Yes, No,3.8,146, JP Nagar, Casual Dining,600, Dine-out, JP Nagar, Chinese
Jaganath Restaurant And Hotel, No, No,3.2,8, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, North Indian
Beach Hut, No, No,3.5,134, JP Nagar, Casual Dining,650, Dine-out, JP Nagar, North Indian/Chinese
Kaizen Wellness Kitchen, Yes, No,3.7,37, JP Nagar, Casual Dining,800, Dine-out, JP Nagar, Asian/Continental/European
Delhi Ke Bawarchi, No, No,4,88, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, North Indian/Chinese/Fast Food
Zeeshan, Yes, No,3.1,320, JP Nagar, Casual Dining,700, Dine-out, JP Nagar, North Indian/Kebab/Biryani/Rolls
The Cravery, Yes, No,2.6,18, JP Nagar, Cafe,500, Dine-out, JP Nagar, Cafe
Sambram Biriyani Paradise, Yes, No,3.6,96, JP Nagar, Casual Dining,600, Dine-out, JP Nagar, Biryani/North Indian/Chinese
Thayee Touch, No, No,3.6,30, JP Nagar, Casual Dining,450, Dine-out, JP Nagar, North Indian/Chinese/South Indian
Cuppa, No, No,3.4,48, JP Nagar, Cafe,550, Dine-out, JP Nagar, Cafe/Fast Food
Eat Repeat Express, Yes, No,3.2,20, JP Nagar, Casual Dining,700, Dine-out, JP Nagar, North Indian/South Indian/Chinese/Biryani/Mexican
Empire Restaurant, Yes, No,4.1,2402, JP Nagar, Casual Dining,750, Dine-out, JP Nagar, North Indian/Mughlai/South Indian/Chinese
Mast Kalandar, No, No,2.3,176, JP Nagar, Casual Dining,450, Dine-out, JP Nagar, North Indian
Kakal Kai Ruchi, No, No,3.9,30, JP Nagar, Casual Dining,450, Dine-out, JP Nagar, South Indian/North Indian/Chinese
Kamat Swaad, No, No,3.9,194, JP Nagar, Casual Dining,400, Dine-out, JP Nagar, South Indian/North Indian/Chinese
Cafe Coffee Day, Yes, No,3.1,34, JP Nagar, Cafe,900, Dine-out, JP Nagar, Cafe/Fast Food
New Prashanth Hotel, Yes, No,3,64, JP Nagar, Casual Dining,750, Dine-out, JP Nagar, South Indian/Biryani/Chinese/North Indian
Deccan Spice, No, No,3.5,65, JP Nagar, Casual Dining,750, Dine-out, JP Nagar, North Indian/South Indian/Biryani
NEW SUNRISE RESTAURANTS, No, No,2.7,39, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, North Indian/Chinese/Biryani
The Brew - Aurick Boutique Hotel, No, No,3.1,16, JP Nagar, Casual Dining,700, Dine-out, JP Nagar, North Indian/South Indian/Chinese/Grill
Anju's Cafe, No, No,3.4,6, JP Nagar, Cafe,600, Dine-out, JP Nagar, Cafe/North Indian
Andhra Grills, No, No,3,55, JP Nagar, Casual Dining,800, Dine-out, JP Nagar, Andhra/North Indian/Biryani
Targaryen's Kitchen, No, No,3.6,25, JP Nagar, Casual Dining,550, Dine-out, JP Nagar, North Indian/Bengali/Chinese
Sea Horse, No, No,3.4,9, JP Nagar, Casual Dining,500, Dine-out, JP Nagar, Seafood/Chinese/South Indian/North Indian
Durbari Restaurant, No, No,3.2,4, JP Nagar, Casual Dining,600, Dine-out, JP Nagar, North Indian/Chinese/Mughlai
Chung Wah Opus, Yes, No,3,57, JP Nagar, Casual Dining,650, Dine-out, JP Nagar, Chinese/Thai
Petoo, No, No,3.7,48, JP Nagar, Casual Dining,800, Dine-out, JP Nagar, North Indian/Fast Food/Street Food
SV Juice Corner, No, No,3.3,6, JP Nagar, Beverage Shop,150, Dine-out, JP Nagar, Beverages/Fast Food
Zyksha, No, No,3.4,9, South Bangalore, Food Truck,200, Dine-out, JP Nagar, Fast Food
Juice Buzz, No, No,3.1,10, JP Nagar, Beverage Shop,200, Dine-out, JP Nagar, Juices
Targaryen's Kitchen, Yes, No,3.6,43, JP Nagar, Casual Dining,600, Dine-out, JP Nagar, Chinese/North Indian/Mughlai
Skytouch Le Cafe, Yes, No,3.7,127, JP Nagar, Cafe,700, Dine-out, JP Nagar, Cafe/Italian/Desserts
Pizza Hut, Yes, No,3.9,185, JP Nagar, Casual Dining,750, Dine-out, JP Nagar, Pizza/Fast Food
Aditya Uphar, No, No,3.5,30, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, South Indian/Chinese/North Indian
Sri Krishna Sagar, No, No,3,54, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Chinese/Street Food
Woodee Pizza, Yes, No,2.7,85, JP Nagar, Cafe,500, Dine-out, JP Nagar, Cafe/Pizza/Fast Food/Beverages
Cafe Mist, Yes, No,3.8,187, JP Nagar, Cafe,500, Dine-out, JP Nagar, Cafe/American/Continental/Italian
Amritsari Kulcha Land, Yes, No,4,260, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, North Indian
Mavalli Tiffin Room (MTR), No, No,4.1,873, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian
California Burrito, No, No,4.1,98, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Mexican/Fast Food
Cheesiano Pizza, Yes, Yes,4,205, JP Nagar, Quick Bites,700, Dine-out, JP Nagar, Pizza/Italian
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©, Yes, No,3.6,49, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Bohri
KFC, No, No,3.9,440, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Burger/Fast Food
Momo Jojo, Yes, No,4.3,539, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Chinese/Tibetan/Momos
The Hunger Room, Yes, No,3.9,37, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Continental/Sandwich/Burger/Italian/Salad/Pizza
Maa'r Rannaghor, Yes, No,3.8,22, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Bengali/Chinese
Pizza Paradise, Yes, No,3.6,60, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, Pizza
Dakshin Cafe, Yes, No,4.1,140, JP Nagar, Quick Bites,100, Dine-out, JP Nagar, South Indian
Tasty Bites, Yes, No,3.8,217, JP Nagar, Quick Bites,450, Dine-out, JP Nagar, North Indian
Faasos, Yes, No,3.9,313, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, North Indian/Biryani/Fast Food
McDonald's, Yes, No,3.8,184, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, Burger/Fast Food
Tandoor Chai House, Yes, No,3.5,7, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Street Food/Sandwich/Rolls/Beverages
Domino's Pizza, Yes, No,4,319, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Pizza/Fast Food
Sri Rajasthani Foods, Yes, No,3.6,10, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Rajasthani/North Indian
Namma Banashankari Donne Biryani, Yes, No,4,99, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, Biryani/Kebab
Sri Raghavendra Davanagere Benne Dose Hotel, No, No,4,36, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, South Indian
Marenahalli Donne Biriyani, Yes, No,3.9,261, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Biryani/Fast Food
B.M.W Bhookh Mitaane Wala, Yes, No,3.6,12, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, North Indian/South Indian/Chinese
Five Star Chicken, No, No,3.3,5, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Roast Chicken/Burger
The Foodyz, Yes, No,3.7,43, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, North Indian/Chinese
Dosa Bazaar, Yes, No,4,113, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Street Food/South Indian
Meat And Eat, Yes, No,3.7,81, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, Fast Food/Burger
The little Kitchen, Yes, No,3.4,5, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Chinese/North Indian
Mahek Pizza, Yes, No,3.9,38, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Pizza
More Pizza, Yes, No,3.8,46, JP Nagar, Quick Bites,450, Dine-out, JP Nagar, Pizza
Bramhin Tiffins, No, No,3.6,12, JP Nagar, Quick Bites,150, Dine-out, JP Nagar, South Indian
Roll N Rock, Yes, No,3.7,33, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Chinese/North Indian/Mughlai/Rolls
New Udupi Grand, Yes, No,3.5,47, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Chinese
Nammura Upahara, No, No,3.8,40, JP Nagar, Quick Bites,100, Dine-out, JP Nagar, South Indian
Bhukkhad Baba, Yes, No,3.7,132, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, North Indian/Beverages
Pushpa Darshini, No, No,3.6,20, JP Nagar, Quick Bites,100, Dine-out, JP Nagar, South Indian
Goli Vada Pav No. 1, Yes, No,3.2,44, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Street Food
Punjabi Food Corner, Yes, No,3,354, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, North Indian/Chinese/Street Food
Paratha Plaza, Yes, No,3.8,171, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, North Indian
Mirch Masala, Yes, No,3.4,6, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, North Indian
Ningi Family Restaurant, No, No,3.5,10, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, South Indian/Biryani/Chinese
Amrit, No, No,3.4,24, JP Nagar, Food Court,600, Dine-out, JP Nagar, North Indian/Seafood
Sandwichwallas, Yes, No,3.6,33, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Fast Food
Prasiddhi Food Corner, Yes, No,3.7,171, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Fast Food/North Indian/South Indian
Fish And Dish, Yes, No,3.7,23, JP Nagar, Quick Bites,350, Dine-out, JP Nagar, Mangalorean/Chinese
Grills & Rolls, Yes, No,2.5,321, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, North Indian/Chinese/Fast Food/Rolls/Juices
Subway, Yes, No,4,273, JP Nagar, Quick Bites,600, Dine-out, JP Nagar, Salad/Fast Food
Atithi Biryani Corner, Yes, No,3.3,4, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Biryani/South Indian
Hot Rolls & House Of Kebabs, Yes, No,3.1,55, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Rolls/Kebab/Biryani
Chaitanya Cafe, Yes, No,3.9,92, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Fast Food
SLV Restaurant, No, No,4.2,378, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Chinese
Keshava Kabab Centre, No, No,3.2,7, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, North Indian
Udupi Upachar, Yes, No,3.3,13, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Chinese/Street Food
Sree Krishna Kafe, No, No,3.9,115, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, South Indian
Pizza Stop, Yes, No,3.9,386, JP Nagar, Quick Bites,600, Dine-out, JP Nagar, Pizza/Italian
Donne Biriyani House, Yes, No,3.3,212, JP Nagar, Quick Bites,350, Dine-out, JP Nagar, Biryani/Andhra
Vinaya Cafe, Yes, No,3.7,55, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, South Indian/Street Food/Juices
Dal Roti, Yes, No,3.7,117, JP Nagar, Quick Bites,150, Dine-out, JP Nagar, North Indian
Bengalooru Tiffany's, Yes, No,3.1,39, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, South Indian/North Indian/Chinese/Street Food
Gowdru Mane Oota, Yes, No,3.7,82, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, South Indian/Andhra
Rolls On Wheels, No, No,3.1,138, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Fast Food/Rolls/Momos
Calvin's, No, No,2.9,231, JP Nagar, Dessert Parlor,800, Dine-out, JP Nagar, Desserts/Italian/Pizza
Melting Pot at Woodrose, Yes, No,3.7,19, JP Nagar, Quick Bites,800, Dine-out, JP Nagar, North Indian
Kesar Restaurant, Yes, No,3.6,48, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, North Indian/Chinese/South Indian
Waikiki, No, No,3.2,5, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Fast Food/Beverages
Mini Forest, No, No,3.3,6, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, Fast Food/Desserts
Pappu Chaiwalla, No, No,3.6,140, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Fast Food/Tea/Beverages
Gopal Kabab Centre, No, No,3.3,4, JP Nagar, Quick Bites,350, Dine-out, JP Nagar, North Indian
Cafe Bollywood, No, No,3.4,25, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Street Food
Wow Momo, Yes, No,3.3,12, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Tibetan/Momos
Hotel Coorg Style, No, No,3.1,9, JP Nagar, Quick Bites,350, Dine-out, JP Nagar, South Indian
Nandi Bidadi Thatte Idli, No, No,2.9,33, JP Nagar, Quick Bites,100, Dine-out, JP Nagar, South Indian
Gowdru Military Hotel, No, No,3.2,5, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Biryani/South Indian
Appam Centre, No, No,3.2,4, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Kerala
Sang Grail, No, No,3.6,34, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Healthy Food
Akshaya Donne Biriyani, Yes, No,3,39, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Biryani/South Indian/Kebab
Ande Ka Funda, Yes, No,3.1,22, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, North Indian/Fast Food/Rolls
Earth Plate Express, Yes, No,3.9,33, JP Nagar, Food Court,600, Dine-out, JP Nagar, Italian/Continental
Once In Nature, Yes, No,3.7,37, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Healthy Food
SLV Upahara, No, No,3.5,4, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, South Indian/North Indian
Impala Biryani, No, No,3.2,4, JP Nagar, Quick Bites,150, Dine-out, JP Nagar, Biryani/North Indian
SB FOODS, No, No,3.3,4, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, South Indian
Chilli N Chicken, No, No,3.2,4, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Andhra
Biryani Times, No, No,3.5,16, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Biryani
Tandoori Spot, No, No,3.5,13, JP Nagar, Quick Bites,500, Dine-out, JP Nagar, North Indian/Chinese
Thindi Mane, No, No,3.4,6, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian
Chicken Dera, No, No,3,25, JP Nagar, Quick Bites,400, Dine-out, JP Nagar, Mughlai/Kebab/Biryani
South Indian Kitchen, No, No,3.3,6, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Asian/BBQ/South Indian/Chinese
Special Biriyani, No, No,2.9,4, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, North Indian/Biryani
Samosa Singh, Yes, No,3.5,4, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, North Indian/Mithai
Nati Palace, Yes, No,3.5,11, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, South Indian/North Indian
The Chocolate Room, Yes, No,3.9,153, JP Nagar, Food Court,400, Dine-out, JP Nagar, Cafe/Desserts
Naati Manae, Yes, No,3.1,10, JP Nagar, Food Court,500, Dine-out, JP Nagar, South Indian/Biryani
Chilly N Chicken, No, No,3.5,14, JP Nagar, Quick Bites,250, Dine-out, JP Nagar, Andhra/Biryani
Fujian Express, Yes, No,3.4,35, JP Nagar, Quick Bites,200, Dine-out, JP Nagar, Chinese/Thai
Banashankari Nati Style, Yes, No,3.6,8, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian
Five Star Chicken, Yes, No,3.9,62, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, Burger/Fast Food/Roast Chicken/Finger Food
Halli Mane MUDDE OOTA, Yes, No,3.5,14, JP Nagar, Quick Bites,300, Dine-out, JP Nagar, South Indian
Deja Vu Resto Bar, Yes, Yes,4.4,2496, Bannerghatta Road, Pub,900, Dine-out, JP Nagar, North Indian/Italian
Nagarjuna, No, No,4.2,1292, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, Andhra/Biryani
Hyderabad Biryaani House, Yes, No,3.6,798, Bannerghatta Road, Casual Dining,550, Dine-out, JP Nagar, Biryani/North Indian/Chinese
Chung Wah, Yes, No,4,539, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, Chinese/Thai/Momos/Vietnamese
Nellore Ruchulu, Yes, No,3.7,32, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, North Indian/South Indian/Chinese
Dadi's Dum Biryani, Yes, Yes,4,743, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, Biryani/North Indian/Mughlai
Kundana, Yes, No,3.7,111, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, Andhra/Biryani
Suryawanshi, Yes, No,3.8,18, Bannerghatta Road, Casual Dining,700, Dine-out, JP Nagar, Maharashtrian/Seafood
Vaho Kafe & Pressery, No, No,3.9,124, Bannerghatta Road, Cafe,500, Dine-out, JP Nagar, Cafe/Healthy Food/Asian/Italian/North Indian/Biryani/Juices
Dreamcatcher, Yes, No,3.9,50, Bannerghatta Road, Cafe,600, Dine-out, JP Nagar, Cafe
A2B - Adyar Ananda Bhavan, Yes, No,2.7,426, Bannerghatta Road, Casual Dining,400, Dine-out, JP Nagar, South Indian/North Indian/Chinese/Street Food/Fast Food
Malhar Maharashtrian Cuisine, Yes, No,4,101, Bannerghatta Road, Casual Dining,500, Dine-out, JP Nagar, Maharashtrian
Hyderabadi Bawarchi, Yes, No,3.2,136, Bannerghatta Road, Casual Dining,500, Dine-out, JP Nagar, North Indian/Chinese/Biryani
Sakshi, Yes, No,3,38, Bannerghatta Road, Casual Dining,550, Dine-out, JP Nagar, North Indian/Biryani/Chinese/Seafood
Marwa Restaurant, Yes, Yes,3.5,551, Bannerghatta Road, Casual Dining,600, Dine-out, JP Nagar, North Indian/Chinese/Fast Food/BBQ
Chow San, Yes, No,3.1,122, Bannerghatta Road, Quick Bites,500, Dine-out, JP Nagar, Chinese/Thai/Momos
Thalassery Food Court, Yes, No,3.5,9, Bannerghatta Road, Casual Dining,650, Dine-out, JP Nagar, Kerala/Arabian/Seafood/Beverages
Guru Garden, No, No,2.9,107, Bannerghatta Road, Casual Dining,450, Dine-out, JP Nagar, North Indian/Chinese
Status, No, No,3.3,67, Bannerghatta Road, Casual Dining,600, Dine-out, JP Nagar, North Indian/Chinese
Athithi, No, No,2.8,80, Bannerghatta Road, Casual Dining,650, Dine-out, JP Nagar, Andhra/Biryani/Chinese/North Indian
D2V Cafe, No, No,3.6,13, Bannerghatta Road, Cafe,700, Dine-out, JP Nagar, Cafe
Northern Bites, Yes, No,3.2,51, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, North Indian/Chinese
Zhangs Classic, Yes, No,2.6,170, Bannerghatta Road, Casual Dining,600, Dine-out, JP Nagar, Italian/Chinese/Japanese
Coastal Inn, No, No,3.4,66, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, Chinese/North Indian/Seafood
Aishwarya Parkland, No, No,2.9,59, Bannerghatta Road, Casual Dining,500, Dine-out, JP Nagar, Chinese/North Indian
Andhra Bhojanam, No, No,3.6,21, Bannerghatta Road, Casual Dining,600, Dine-out, JP Nagar, North Indian/South Indian/Andhra
Aramane Restaurant, Yes, Yes,2.9,90, Bannerghatta Road, Casual Dining,800, Dine-out, JP Nagar, North Indian/South Indian/Seafood/Biryani/Chinese
Tandoor Hut, No, No,2.2,90, Bannerghatta Road, Casual Dining,750, Dine-out, JP Nagar, North Indian/Chinese
Cafe Choco Craze, No, No,3.7,9, Bannerghatta Road, Cafe,400, Dine-out, JP Nagar, Cafe/Fast Food/Desserts
Thalassery Food Court, Yes, No,3.1,4, Bannerghatta Road, Casual Dining,650, Dine-out, JP Nagar, Kerala/Arabian/Seafood/Beverages
Vasudev Adiga's, No, No,2.3,291, Bannerghatta Road, Casual Dining,250, Dine-out, JP Nagar, South Indian/North Indian/Chinese/Street Food
Fresh Kitchen, Yes, No,3.3,22, Bannerghatta Road, Casual Dining,600, Dine-out, JP Nagar, North Indian/Chinese
Madeena Hotel, Yes, No,3.9,54, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, North Indian/Mughlai/Biryani
Biryani Nights, Yes, No,3.6,19, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, South Indian/North Indian/Chinese
SGS Non Veg - Gundu Pulav, Yes, No,3.9,121, Bannerghatta Road, Quick Bites,300, Dine-out, JP Nagar, Biryani/South Indian
Polar Bear, Yes, No,3.9,190, Bannerghatta Road, Dessert Parlor,400, Dine-out, JP Nagar, Ice Cream/Desserts/Beverages/Sandwich
Manjushree Upahara, Yes, No,3.8,32, Bannerghatta Road, Quick Bites,150, Dine-out, JP Nagar, South Indian
Box Magic, Yes, No,3.7,22, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, North Indian/South Indian/Seafood/Rolls
Soup Station, Yes, No,3.7,11, Bannerghatta Road, Quick Bites,250, Dine-out, JP Nagar, Continental
Green Onion, No, No,3.3,50, Bannerghatta Road, Food Court,400, Dine-out, JP Nagar, Chinese
Punjabi Corner, Yes, No,3.9,202, Bannerghatta Road, Quick Bites,250, Dine-out, JP Nagar, North Indian/Chinese
Chaitanya Grand, No, No,3.6,12, Bannerghatta Road, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Chinese
Sagar Grand, Yes, No,3.8,31, Bannerghatta Road, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian/Chinese
Burj Hotel, Yes, No,3.5,57, Bannerghatta Road, Quick Bites,350, Dine-out, JP Nagar, North Indian/Chinese
Kailash Parbat, No, No,3.1,28, Bannerghatta Road, Food Court,600, Dine-out, JP Nagar, North Indian/Street Food
Garma Garam, Yes, No,3.2,146, Bannerghatta Road, Quick Bites,350, Dine-out, JP Nagar, North Indian/Chinese/Biryani/Rolls
Taco Bell, Yes, No,4,911, Bannerghatta Road, Quick Bites,600, Dine-out, JP Nagar, Mexican/American/Fast Food
Kuttanad, Yes, No,3.6,140, Bannerghatta Road, Quick Bites,200, Dine-out, JP Nagar, Kerala/South Indian
FRYBIES, Yes, No,3.3,15, Bannerghatta Road, Quick Bites,350, Dine-out, JP Nagar, Fast Food
Shuddh Desi Khana, Yes, No,4.1,600, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, North Indian
Spar Refresh, No, No,3.4,5, Bannerghatta Road, Food Court,300, Dine-out, JP Nagar, North Indian/South Indian/Pizza
Burger King, Yes, No,3.2,188, Bannerghatta Road, Quick Bites,600, Dine-out, JP Nagar, Burger/Fast Food/Beverages
Marhaba, No, No,3.5,25, Bannerghatta Road, Food Court,500, Dine-out, JP Nagar, Arabian/Mediterranean/North Indian
Smoor, Yes, No,3.6,17, Bannerghatta Road, Dessert Parlor,900, Dine-out, JP Nagar, Desserts/Cafe/Beverages
Manjushree Veg, No, No,3.5,11, Bannerghatta Road, Quick Bites,150, Dine-out, JP Nagar, South Indian/Chinese
Kalpavruksha, Yes, No,3.9,99, Bannerghatta Road, Quick Bites,300, Dine-out, JP Nagar, South Indian/North Indian
Mom's Momos, No, No,3.7,25, Bannerghatta Road, Quick Bites,100, Dine-out, JP Nagar, Chinese
Sai Shiv Sagar, No, No,2.8,14, Bannerghatta Road, Food Court,300, Dine-out, JP Nagar, South Indian/North Indian
Hot Burg, Yes, No,3.5,51, Bannerghatta Road, Quick Bites,200, Dine-out, JP Nagar, Fast Food/Juices
Bangaliana, Yes, No,2.9,154, Bannerghatta Road, Quick Bites,600, Dine-out, JP Nagar, Bengali
Arabian Mexico, Yes, No,3.3,53, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, Fast Food/Arabian
Panchami Garden, No, No,3.5,56, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, South Indian/North Indian
Pizza Da Dhaba, No, No,3.2,8, Bannerghatta Road, Quick Bites,400, Dine-out, JP Nagar, Fast Food/Pizza
Resto, No, No,3.7,40, Bannerghatta Road, Quick Bites,350, Dine-out, JP Nagar, Chinese/North Indian/Fast Food/Momos
SLV Kabab Centre, No, No,3.2,4, Bannerghatta Road, Quick Bites,100, Dine-out, JP Nagar, Biryani/Fast Food
